,File_Name,Bbox,Height,Width,Disease_Name
3224,train_422.png,"[597.0, 641.0, 236.0, 161.0]",1316,2836,impacted
2844,train_184.png,"[1973.0, 758.0, 260.0, 295.0]",1504,2872,caries
1701,train_648.png,"[702.0746887966804, 790.8713692946058, 261.4107883817427, 306.22406639004157]",1316,2710,caries
805,train_273.png,"[1044.0, 910.0, 155.0, 322.0]",1504,2868,periapical
3122,train_671.png,"[778.0, 740.0, 275.0, 321.0]",1503,2892,caries
113,train_564.png,"[480.75, 525.75, 148.75, 186.25]",976,1976,deep_caries
2222,train_321.png,"[2046.0, 851.0, 228.0, 296.0]",1504,2872,caries
1374,train_583.png,"[734.0, 646.0, 247.0, 220.0]",1316,2839,deep_caries
2217,train_321.png,"[607.0, 824.0, 204.0, 206.0]",1504,2872,impacted
1227,train_261.png,"[1953.0, 688.0, 190.0, 246.0]",1316,2923,periapical
508,train_326.png,"[1088.0, 710.0, 124.0, 294.0]",1316,2933,caries
1494,train_308.png,"[1711.0, 709.0, 225.0, 319.0]",1316,2692,caries
1511,train_37.png,"[669.0, 616.0, 149.0, 253.0]",1504,2872,caries
3119,train_671.png,"[836.0, 338.0, 171.0, 246.0]",1503,2892,impacted
2587,train_109.png,"[990.0, 370.0, 161.0, 361.0]",1504,2872,caries
1251,train_696.png,"[2002.0, 586.0, 241.0, 291.0]",1316,2965,caries
259,train_7.png,"[1920.0, 437.0, 172.0, 229.0]",1316,2920,impacted
3223,train_275.png,"[1591.8918918918919, 564.8648648648649, 82.4324324324325, 328.37837837837833]",1504,2872,periapical
2574,train_89.png,"[1170.6349206349207, 392.06349206349205, 80.95238095238096, 263.4920634920635]",1316,2931,caries
3184,train_256.png,"[1973.170731707317, 913.0, 240.82926829268308, 308.0]",1504,2884,caries
2567,train_411.png,"[943.0, 522.0, 156.0, 292.0]",1504,2872,caries
1048,train_362.png,"[2148.0, 555.0, 119.0, 129.0]",1504,2872,impacted
1710,train_620.png,"[1831.0, 743.0, 235.0, 347.0]",1316,2945,caries
1340,train_460.png,"[946.0, 877.0, 220.0, 286.0]",1504,2872,caries
1675,train_423.png,"[901.0, 505.0, 179.0, 254.0]",1316,2796,deep_caries
784,train_273.png,"[600.0, 905.0, 182.0, 192.0]",1504,2868,impacted
1183,train_213.png,"[827.0, 321.0, 140.0, 266.0]",1316,2851,caries
971,train_102.png,"[1154.2142857142856, 483.3571428571428, 103.57142857142867, 301.78571428571433]",1504,2644,deep_caries
3339,train_46.png,"[788.4545454545454, 760.4545454545454, 154.5454545454545, 256.3636363636364]",1316,2864,impacted
30,train_95.png,"[2022.5806451612902, 444.83870967741933, 137.0967741935483, 345.16129032258067]",1504,2872,caries
1847,train_670.png,"[925.0, 493.0, 108.0, 167.0]",1316,2771,deep_caries
2113,train_639.png,"[953.3636363636363, 361.18181818181813, 118.18181818181824, 343.6363636363636]",1316,2852,caries
520,train_545.png,"[1849.0, 636.0, 157.0, 306.0]",1504,2872,caries
2869,train_359.png,"[714.0, 643.0, 245.0, 176.0]",1316,2986,impacted
1837,train_670.png,"[1003.8095238095237, 439.04761904761904, 91.42857142857144, 260.0]",1316,2771,caries
314,train_3.png,"[1104.6842105263158, 494.0, 97.36842105263145, 284.2105263157895]",1316,2682,caries
2163,train_349.png,"[1793.805309734513, 442.4778761061946, 120.35398230088504, 240.7079646017699]",1316,2757,caries
1772,train_104.png,"[1665.2068965517242, 801.6551724137931, 127.58620689655186, 358.62068965517244]",1316,2712,caries
705,train_603.png,"[1017.3333333333334, 342.6666666666667, 149.33333333333337, 349.3333333333333]",1316,2918,deep_caries
2836,train_644.png,"[690.0, 603.0, 237.0, 225.0]",1316,2899,caries
2885,train_17.png,"[1805.0, 616.0, 200.0, 267.0]",1504,2872,caries
1589,train_172.png,"[2054.032967032967, 590.7032967032967, 216.48351648351627, 145.05494505494505]",1316,2885,impacted
2012,train_530.png,"[761.0, 594.0, 219.0, 276.0]",1316,2828,caries
822,train_303.png,"[1912.0, 808.0, 270.0, 234.0]",1504,2872,caries
989,train_437.png,"[881.0, 302.0, 142.0, 339.0]",1316,2856,caries
187,train_229.png,"[2028.0, 382.0, 116.0, 317.0]",1316,2881,caries
549,train_309.png,"[1740.0, 534.0, 158.0, 294.0]",1504,2872,caries
3061,train_242.png,"[2002.2564102564102, 786.0, 184.74358974358984, 222.23076923076928]",1316,2844,caries
3449,train_479.png,"[1328.0, 820.0, 91.0, 352.0]",1504,2872,periapical
1017,train_497.png,"[739.1891891891892, 648.7872487872488, 129.7297297297298, 227.0270270270271]",1504,2872,deep_caries
2238,train_396.png,"[2011.0, 545.0, 162.0, 324.0]",1504,2872,caries
1372,train_477.png,"[644.5490196078431, 620.8627450980392, 125.49019607843138, 190.19607843137248]",1504,2888,deep_caries
2984,train_580.png,"[1712.0, 765.0, 259.0, 265.0]",1316,2804,caries
1818,train_260.png,"[1096.0, 518.0, 134.25, 211.5]",976,1976,caries
3194,train_42.png,"[823.0, 753.0, 239.0, 316.0]",1316,2828,caries
639,train_452.png,"[1725.0, 836.0, 194.0, 356.0]",1504,2872,periapical
36,train_62.png,"[1001.5463917525774, 818.5567010309279, 157.21649484536078, 213.91752577319573]",1316,2867,deep_caries
1762,train_386.png,"[803.0, 570.0, 153.85714285714278, 295.0]",1316,2952,deep_caries
919,train_332.png,"[1045.0, 805.0, 181.0, 191.0]",1316,2983,deep_caries
2190,train_526.png,"[911.6504854368932, 444.6601941747573, 139.80582524271836, 302.9126213592233]",1316,2902,caries
3506,train_338.png,"[804.9999999999999, 703.8571428571428, 247.0000000000001, 274.1428571428572]",1316,2910,caries
3107,train_284.png,"[841.0, 870.0, 266.0, 310.0]",1504,2872,caries
