epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.3433,1.32462,3.32093,0.02004,0.93316,0.95871,0.9891,0.66211,1.21266,0.46555,0.02025,0.00033213,0.00033213,0.0671191
2,187.543,1.03895,0.36686,0.01471,0.96547,0.95628,0.98989,0.66947,1.16644,0.39557,0.01897,0.000652167,0.000652167,0.0341058
3,276.636,0.94729,0.32188,0.01332,0.95545,0.9802,0.99201,0.70328,1.06722,0.37246,0.01755,0.000958885,0.000958885,0.00107922
4,365.928,0.90428,0.29881,0.01259,0.98182,0.98521,0.99165,0.70782,1.08145,0.31147,0.01777,0.00094006,0.00094006,0.00094006
5,454.778,0.85675,0.26818,0.01195,0.96969,0.99194,0.99423,0.70858,1.04972,0.28476,0.01741,0.00092008,0.00092008,0.00092008
6,543.525,0.82223,0.25149,0.01142,0.98938,0.97596,0.9945,0.69491,1.09487,0.29708,0.0181,0.0009001,0.0009001,0.0009001
7,632.067,0.80718,0.24579,0.01116,0.97678,0.99104,0.99398,0.70884,1.04835,0.28472,0.01725,0.00088012,0.00088012,0.00088012
8,721.087,0.72244,0.22269,0.00995,0.98115,0.99638,0.99404,0.68954,1.09726,0.28508,0.01813,0.00086014,0.00086014,0.00086014
9,809.883,0.68139,0.21282,0.0093,0.98642,0.99486,0.9946,0.71413,1.02738,0.27436,0.01694,0.00084016,0.00084016,0.00084016
10,898.498,0.65651,0.20355,0.00899,0.98143,0.97787,0.9939,0.69569,1.07981,0.30479,0.01769,0.00082018,0.00082018,0.00082018
11,986.864,0.61998,0.19215,0.00849,0.99256,0.98491,0.99455,0.70985,1.04689,0.28126,0.01716,0.0008002,0.0008002,0.0008002
12,1075.49,0.62534,0.19708,0.00862,0.98038,0.99075,0.99447,0.69324,1.07326,0.28873,0.01778,0.00078022,0.00078022,0.00078022
13,1164.07,0.55245,0.18061,0.00755,0.97676,0.98873,0.99419,0.6994,1.0552,0.29806,0.01737,0.00076024,0.00076024,0.00076024
14,1252.96,0.51671,0.17413,0.00702,0.98137,0.98788,0.99416,0.71213,1.04594,0.3116,0.01716,0.00074026,0.00074026,0.00074026
15,1341.1,0.52582,0.17416,0.00719,0.99582,0.99399,0.99486,0.70389,1.04089,0.27016,0.01712,0.00072028,0.00072028,0.00072028
16,1429.23,0.4937,0.15833,0.00673,0.98386,0.99345,0.99393,0.71414,1.05947,0.30187,0.0174,0.0007003,0.0007003,0.0007003
17,1517.64,0.44929,0.14589,0.00612,0.99329,0.98551,0.99475,0.71277,1.02035,0.28405,0.01669,0.00068032,0.00068032,0.00068032
18,1605.87,0.43201,0.14289,0.00589,0.99219,0.99516,0.99489,0.70752,1.0374,0.28734,0.01702,0.00066034,0.00066034,0.00066034
19,1694.14,0.41259,0.13873,0.00562,0.993,0.98603,0.99479,0.70946,1.06126,0.30342,0.0174,0.00064036,0.00064036,0.00064036
20,1782.58,0.39916,0.1315,0.00545,0.99845,0.98433,0.9949,0.71923,1.02052,0.28082,0.01682,0.00062038,0.00062038,0.00062038
21,1871.33,0.35982,0.12403,0.00488,0.99169,0.99958,0.99493,0.71172,1.03167,0.29056,0.01687,0.0006004,0.0006004,0.0006004
22,1959.88,0.33043,0.11631,0.00447,0.98445,0.97876,0.99377,0.71314,1.03945,0.30101,0.01707,0.00058042,0.00058042,0.00058042
23,2048.23,0.3127,0.11019,0.00426,0.99416,0.99736,0.99493,0.71796,1.0192,0.29844,0.01676,0.00056044,0.00056044,0.00056044
24,2136.88,0.30956,0.10633,0.0042,0.9972,0.99259,0.995,0.71253,1.02243,0.29346,0.01676,0.00054046,0.00054046,0.00054046
25,2225.25,0.28338,0.09801,0.0038,0.9983,0.9945,0.99496,0.70681,1.02171,0.30138,0.0168,0.00052048,0.00052048,0.00052048
26,2313.76,0.26362,0.09438,0.00353,0.98496,0.9969,0.99496,0.71951,1.01097,0.29721,0.01661,0.0005005,0.0005005,0.0005005
27,2402.36,0.26055,0.09159,0.00351,0.99749,0.99478,0.99493,0.71451,1.0177,0.28869,0.01674,0.00048052,0.00048052,0.00048052
28,2490.97,0.24932,0.0883,0.00335,0.99676,0.99977,0.995,0.70544,0.99837,0.30747,0.01639,0.00046054,0.00046054,0.00046054
29,2579.38,0.22014,0.07938,0.00298,0.99441,1,0.995,0.7187,1.00787,0.29684,0.01654,0.00044056,0.00044056,0.00044056
30,2668.99,0.21565,0.07781,0.0029,0.99242,0.99463,0.99496,0.7222,1.005,0.29902,0.0165,0.00042058,0.00042058,0.00042058
31,2757.96,0.20484,0.07564,0.00279,0.99093,0.99136,0.99482,0.71605,1.00573,0.3165,0.01656,0.0004006,0.0004006,0.0004006
32,2846.63,0.1895,0.07253,0.00256,0.98508,0.99333,0.99454,0.71886,1.00186,0.31851,0.0164,0.00038062,0.00038062,0.00038062
33,2935.53,0.18149,0.07109,0.00247,0.99361,0.99776,0.99496,0.71861,0.992,0.31674,0.01632,0.00036064,0.00036064,0.00036064
34,3023.86,0.16667,0.06786,0.00225,0.99162,0.99319,0.99483,0.71982,0.99528,0.33781,0.01636,0.00034066,0.00034066,0.00034066
35,3112.36,0.15241,0.06277,0.00206,0.99775,0.99705,0.995,0.72444,0.99397,0.32292,0.01632,0.00032068,0.00032068,0.00032068
36,3201.14,0.14711,0.05905,0.00199,0.99719,0.99605,0.995,0.71668,0.99628,0.32718,0.01635,0.0003007,0.0003007,0.0003007
37,3289.95,0.14201,0.05715,0.00191,0.98692,0.99386,0.99489,0.72017,1.00251,0.33447,0.01646,0.00028072,0.00028072,0.00028072
38,3378.86,0.13126,0.05372,0.00176,0.99829,0.99427,0.995,0.72416,1.00041,0.33122,0.01642,0.00026074,0.00026074,0.00026074
39,3467.37,0.12175,0.05028,0.00162,0.99784,0.99723,0.995,0.72062,1.0005,0.33455,0.01644,0.00024076,0.00024076,0.00024076
40,3555.86,0.11783,0.04889,0.00158,0.9919,0.99887,0.99493,0.71354,1.00276,0.3405,0.01649,0.00022078,0.00022078,0.00022078
41,3654.66,0.11725,0.0487,0.00156,0.9984,0.99765,0.995,0.72863,0.99549,0.34426,0.01637,0.0002008,0.0002008,0.0002008
42,3743.61,0.11171,0.04495,0.00148,0.99667,0.9994,0.995,0.71723,0.99469,0.33793,0.01632,0.00018082,0.00018082,0.00018082
43,3831.88,0.10347,0.04256,0.00138,0.99794,1,0.995,0.72038,0.99595,0.34388,0.01637,0.00016084,0.00016084,0.00016084
44,3920.63,0.10267,0.04146,0.00136,0.99902,0.99993,0.995,0.71917,0.99062,0.33326,0.01628,0.00014086,0.00014086,0.00014086
45,4009.55,0.09283,0.03845,0.00124,0.99946,1,0.995,0.71856,0.99588,0.35005,0.01635,0.00012088,0.00012088,0.00012088
46,4098.4,0.09254,0.03834,0.00123,0.99777,0.99875,0.995,0.72125,0.99446,0.34789,0.01635,0.0001009,0.0001009,0.0001009
47,4187.31,0.08527,0.03582,0.00114,0.99525,0.99747,0.995,0.72235,0.99395,0.36688,0.01634,8.092e-05,8.092e-05,8.092e-05
48,4280.37,0.08482,0.03633,0.00113,0.99896,1,0.995,0.72075,0.99396,0.36326,0.01633,6.094e-05,6.094e-05,6.094e-05
49,4372.17,0.08467,0.03619,0.00112,0.99887,0.99812,0.995,0.72025,0.99315,0.34645,0.01633,4.096e-05,4.096e-05,4.096e-05
50,4464.18,0.08078,0.03499,0.00107,0.99879,0.99568,0.995,0.72087,0.99427,0.36214,0.01634,2.098e-05,2.098e-05,2.098e-05
