epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.232,0.71328,0.26929,0.01069,0.95008,0.94726,0.97084,0.71958,0.85496,0.33451,0.01642,3.32586e-05,3.32586e-05,0.0667747
2,712.554,0.60213,0.22695,0.00894,0.96066,0.96291,0.98073,0.77077,0.70092,0.25747,0.01342,6.52734e-05,6.52734e-05,0.0334733
3,1046.22,0.53853,0.19709,0.00801,0.97541,0.96048,0.98095,0.78664,0.66239,0.24321,0.01285,9.59682e-05,9.59682e-05,0.000170707
4,1378.98,0.4912,0.17907,0.00727,0.98014,0.95955,0.98108,0.78758,0.65982,0.24532,0.01271,9.406e-05,9.406e-05,9.406e-05
5,1713.62,0.46142,0.1668,0.00682,0.96996,0.96007,0.98085,0.79226,0.64169,0.23756,0.01272,9.208e-05,9.208e-05,9.208e-05
6,2048.1,0.43786,0.15973,0.00645,0.96834,0.96239,0.98003,0.78358,0.66154,0.24915,0.01299,9.01e-05,9.01e-05,9.01e-05
7,2382.24,0.41657,0.15268,0.00611,0.97769,0.95084,0.97903,0.77711,0.68183,0.26101,0.01314,8.812e-05,8.812e-05,8.812e-05
8,2716.6,0.40193,0.14818,0.00588,0.96743,0.96045,0.9787,0.78526,0.65806,0.25418,0.01296,8.614e-05,8.614e-05,8.614e-05
9,3051.16,0.38575,0.14289,0.00563,0.9629,0.96093,0.97938,0.78242,0.66377,0.25339,0.01303,8.416e-05,8.416e-05,8.416e-05
10,3386.04,0.37555,0.13957,0.00546,0.96248,0.96433,0.97951,0.78765,0.65481,0.25528,0.01298,8.218e-05,8.218e-05,8.218e-05
11,3721.65,0.36608,0.13586,0.00532,0.96862,0.95222,0.98004,0.78858,0.64528,0.25362,0.01285,8.02e-05,8.02e-05,8.02e-05
12,4057.1,0.35409,0.13246,0.00514,0.97098,0.95115,0.97909,0.78308,0.66117,0.26257,0.01309,7.822e-05,7.822e-05,7.822e-05
13,4392.24,0.34257,0.12867,0.00495,0.96681,0.95795,0.97893,0.78124,0.6676,0.27022,0.01317,7.624e-05,7.624e-05,7.624e-05
14,4727.09,0.33464,0.12265,0.00481,0.97455,0.95063,0.97771,0.78513,0.65588,0.263,0.01307,7.426e-05,7.426e-05,7.426e-05
15,5062.44,0.32734,0.12269,0.00471,0.97118,0.95715,0.98046,0.78668,0.66412,0.2654,0.01315,7.228e-05,7.228e-05,7.228e-05
16,5397.99,0.3192,0.11928,0.00458,0.96194,0.96191,0.97923,0.78381,0.66217,0.27139,0.01324,7.03e-05,7.03e-05,7.03e-05
17,5733.38,0.31441,0.11692,0.00453,0.97332,0.94676,0.97762,0.78397,0.66414,0.27419,0.0133,6.832e-05,6.832e-05,6.832e-05
18,6068.76,0.30729,0.1157,0.00441,0.97137,0.95287,0.97876,0.78244,0.66285,0.27402,0.01327,6.634e-05,6.634e-05,6.634e-05
19,6404.14,0.30457,0.11562,0.00434,0.97056,0.95644,0.978,0.78197,0.66151,0.26921,0.01328,6.436e-05,6.436e-05,6.436e-05
20,6739.93,0.29733,0.11205,0.00426,0.96907,0.9579,0.97913,0.77952,0.6689,0.26889,0.01333,6.238e-05,6.238e-05,6.238e-05
21,7074.84,0.2938,0.11125,0.00421,0.97153,0.95411,0.97738,0.7804,0.6671,0.27331,0.0134,6.04e-05,6.04e-05,6.04e-05
22,7409.86,0.28941,0.11008,0.00413,0.97056,0.95752,0.97888,0.78077,0.67318,0.2714,0.0134,5.842e-05,5.842e-05,5.842e-05
23,7745.27,0.28615,0.1077,0.00409,0.96864,0.95132,0.97785,0.78348,0.66255,0.27695,0.01334,5.644e-05,5.644e-05,5.644e-05
24,8080.19,0.28226,0.10699,0.00402,0.97051,0.95843,0.97948,0.783,0.66976,0.26903,0.01342,5.446e-05,5.446e-05,5.446e-05
25,8415.44,0.27732,0.10556,0.00394,0.97093,0.95918,0.97856,0.78198,0.66521,0.28023,0.01333,5.248e-05,5.248e-05,5.248e-05
